Date,Temperature,Rainfall,Evaporation,Sunshine,WindGustSpeed,RainToday,RISK_MM,RainTomorrow
1/1/1960,24.3,0,3.4,6.3,30,No,3.6,Yes
1/2/1960,26.9,3.6,4.4,9.7,39,Yes,3.6,Yes
1/3/1960,23.4,3.6,5.8,3.3,85,Yes,39.8,Yes
1/4/1960,15.5,39.8,7.2,9.1,54,Yes,2.8,Yes
1/5/1960,16.1,2.8,5.6,10.6,50,Yes,0,No
1/6/1960,16.9,0,5.8,8.2,44,No,0.2,No
1/7/1960,18.2,0.2,4.2,8.4,43,No,0,No
1/8/1960,17,0,5.6,4.6,41,No,0,No
1/9/1960,19.5,0,4,4.1,48,No,16.2,Yes
1/10/1960,22.8,16.2,5.4,7.7,31,Yes,0,No
1/11/1960,25.2,0,4.2,11.9,30,No,0.2,No
1/12/1960,27.3,0.2,7.2,12.5,41,No,0,No
1/13/1960,27.9,0,7.2,13,30,No,0,No
1/14/1960,30.9,0,6.2,12.4,44,No,0,No
1/15/1960,31.2,0,8.8,13.1,41,No,0,No
1/16/1960,32.1,0,8.4,11.1,46,No,0,No
1/17/1960,31.2,0,7.2,8.4,44,No,1.2,Yes
1/18/1960,30,1.2,7.2,10.1,52,Yes,0.6,No
1/19/1960,32.3,0.6,7.4,13,39,No,0,No
1/20/1960,33.4,0,8,10.4,33,No,0,No
1/21/1960,33.4,0,8.8,9.5,59,No,0.4,No
1/22/1960,19.4,0.4,9.2,0,26,No,25.8,Yes
1/23/1960,18.5,25.8,2.8,0.6,28,Yes,0.4,No
1/24/1960,24.3,0.4,1.2,7.5,26,No,0,No
1/25/1960,28.4,0,4.4,8.1,33,No,0,No
1/26/1960,26.9,0,6.8,8.9,41,No,0.2,No
1/27/1960,22.2,0.2,6.6,2.3,39,No,0,No
1/28/1960,28,0,4.4,10.7,52,No,0,No
1/29/1960,24.3,0,7,0.4,39,No,0.4,No
1/30/1960,24.1,0.4,2.6,0.5,30,No,22.6,Yes
1/31/1960,20.4,22.6,2.4,0.2,41,Yes,4.2,Yes
2/1/1960,26.3,4.2,1.6,12,41,Yes,0.2,No
2/2/1960,24.2,0.2,6.6,4.7,50,No,6.6,Yes
2/3/1960,26.5,6.6,3.8,11.8,50,Yes,0,No
2/4/1960,21.8,0,8.4,9.8,43,No,0,No
2/5/1960,26.8,0,6,6.3,39,No,0,No
2/6/1960,25.8,0,4.2,8.8,41,No,4,Yes
2/7/1960,28.2,4,4.2,8.8,39,Yes,0,No
2/8/1960,29.4,0,6.6,11.1,43,No,0,No
2/9/1960,24.8,0,10.4,10,35,No,0.6,No
2/10/1960,18.5,0.6,4.8,2.3,35,No,0,No
2/11/1960,21.5,0,4.2,7.3,41,No,0,No
2/12/1960,20.3,0,5,3.6,39,No,0,No
2/13/1960,27.1,0,4.4,12.7,35,No,0,No
2/14/1960,29.9,0,6.8,8.8,41,No,5.4,Yes
2/15/1960,21.1,5.4,6.4,0.9,31,Yes,1.4,Yes
2/16/1960,21.7,1.4,2.8,10.6,48,Yes,0,No
2/17/1960,20.9,0,6.6,8.7,39,No,0,No
2/18/1960,21,0,6.4,0.8,22,No,3.4,Yes
2/19/1960,23.1,3.4,1.6,2.3,30,Yes,6.4,Yes
2/20/1960,29.5,6.4,1.8,8.1,41,Yes,11,Yes
2/21/1960,22,11,4.4,5.9,76,Yes,17.4,Yes
2/22/1960,20.4,17.4,7.8,10.2,39,Yes,0,No
2/23/1960,24.4,0,6.2,12.1,44,No,3.4,Yes
2/24/1960,21.7,3.4,8.2,5.6,41,Yes,0,No
2/25/1960,26.3,0,5.2,13,41,No,0,No
